Name,Mt,Hit,Crt,Weight,Range,Rank,Effect,Physical
,,,,,,,,
Iron Lance,7,85,0,7,1,Ln E,None,TRUE
Wild Fang,N/A,N/A,N/A,N/A,N/A,N/A,None,TRUE
Shade,6,75,0,6,1-2,Dr E,None,FALSE
Fix,3,100,0,3,1-2,Prf,"Not Equipped on use, Restores HP. Restores Status on crit.",FALSE
Flash,5,95,0,6,1-2,Lt E,None,FALSE
Rending Claw,,,,,,,,TRUE
Iron Bow,6,90,0,6,2,Bow E,3x Effective against Fliers,TRUE
Blaze,4,90,0,4,1-2,An E,2x Effective against beasts,FALSE
Hunting Bow,5,80,5,5,2,Prf,2x Effective against any mounted foe or beast.,TRUE
Sky Lance,6,90,0,6,1,Ln E,Provides +2 Res,TRUE
Iron Sword,5,95,0,5,1,Sw E,None,TRUE
